nii,mean,median,mode,median_low,median_high,median_grouped,1,3
./res_dicom2nifti/1/1.2.826.0.1.3680043.8.498.66781181711417502200442935481813368822/1.2.826.0.1.3680043.8.498.42816068413942726282925738946416014672.nii,-544.8700743558114,-875.0,-998.0,-875.0,-875.0,-874.6510204081633,-979.0,-15.0
./res_dicom2nifti/10/1.2.826.0.1.3680043.8.498.74092675855268121402218905764656210858/1.2.826.0.1.3680043.8.498.58011923490331605614909284511834411229.nii,-477.1660664876302,-138.0,-1024.0,-138.0,-138.0,-138.46990740740742,-995.0,-80.0
./res_dicom2nifti/100/1.2.826.0.1.3680043.8.498.14633259170840905094774007585284494938/1.2.826.0.1.3680043.8.498.12722974421890149532311945401083022843.nii,-364.8342803955078,-103.0,-1024.0,-103.0,-103.0,-103.41645353793692,-959.0,27.0
./res_dicom2nifti/100/1.2.826.0.1.3680043.8.498.14633259170840905094774007585284494938/1.2.826.0.1.3680043.8.498.81465009939638788818126438256428418011.nii,-446.2445552765377,-400.0,-1000.0,-400.0,-400.0,-400.10714285714283,-919.0,2.0
./res_dicom2nifti/101/1.2.826.0.1.3680043.8.498.92487922998586900294233106526263326106/1.2.826.0.1.3680043.8.498.62269367583857852943760285801776672434.nii,-541.4376385292311,-860.0,-1024.0,-860.0,-860.0,-859.8605655930872,-997.0,-64.0
./res_dicom2nifti/102/1.2.826.0.1.3680043.8.498.80062628420619977595772805595184677460/1.2.826.0.1.3680043.8.498.65191535336801156701874675329674247832.nii,-334.77123571325234,-116.0,-1024.0,-116.0,-116.0,-115.88103899056496,-842.0,-50.0
./res_dicom2nifti/103/1.2.826.0.1.3680043.8.498.98152161880201426862532124054492013557/1.2.826.0.1.3680043.8.498.23635935494344852827857330664916759173.nii,-692.171826171875,-995.0,-1024.0,-995.0,-995.0,-994.7451032292219,-1024.0,-113.0
./res_dicom2nifti/103/1.2.826.0.1.3680043.8.498.98152161880201426862532124054492013557/1.2.826.0.1.3680043.8.498.11813261779312006078331954328966850170.nii,-507.43477096557615,-741.0,-1024.0,-741.0,-741.0,-741.30859375,-987.0,-34.0
./res_dicom2nifti/104/1.2.826.0.1.3680043.8.498.71775721404285808545120842462586985851/1.2.826.0.1.3680043.8.498.89966610154648739945890530475114518971.nii,-471.0060433714929,-160.0,-1024.0,-160.0,-160.0,-160.22996794871796,-984.0,-36.0
./res_dicom2nifti/104/1.2.826.0.1.3680043.8.498.71775721404285808545120842462586985851/1.2.826.0.1.3680043.8.498.10529460128049289782891345937986337470.nii,-471.700903851053,-141.0,-1024.0,-141.0,-141.0,-141.45112781954887,-988.0,-37.0
./res_dicom2nifti/105/1.2.826.0.1.3680043.8.498.36743252609334979227539952269861407637/1.2.826.0.1.3680043.8.498.69742114425499140677796089874935784650.nii,-511.1309457174162,-838.0,-1000.0,-838.0,-838.0,-838.3712121212121,-990.0,3.0
./res_dicom2nifti/106/1.2.826.0.1.3680043.8.498.18284242375539563875911820520683047344/1.2.826.0.1.3680043.8.498.79683711066658108431674569837568647629.nii,-585.0945911626707,-890.0,-1024.0,-890.0,-890.0,-890.3641114982578,-996.0,-103.0
./res_dicom2nifti/107/1.2.826.0.1.3680043.8.498.11250329308620850349369089954685268786/1.2.826.0.1.3680043.8.498.27216585434026046396708631308317611008.nii,-512.4214288620722,-734.0,-1024.0,-734.0,-734.0,-734.1071428571429,-978.0,-45.0
./res_dicom2nifti/107/1.2.826.0.1.3680043.8.498.71779090559778908048541811570921854299/1.2.826.0.1.3680043.8.498.17598566927964591771514897533481486138.nii,-640.0362667507595,-948.0,-1024.0,-948.0,-948.0,-947.9361581920904,-1001.0,-91.0
./res_dicom2nifti/108/1.2.826.0.1.3680043.8.498.14661480659975400441878650925665884604/1.2.826.0.1.3680043.8.498.10828381981684685955240989066113282772.nii,-537.8883978525797,-857.0,-1024.0,-857.0,-857.0,-856.5369702434626,-995.0,-49.0
./res_dicom2nifti/108/1.2.826.0.1.3680043.8.498.45599302089536639222795843064508879183/1.2.826.0.1.3680043.8.498.11656256639315371466278782571379980628.nii,-518.2407699584961,-824.0,-1024.0,-824.0,-824.0,-823.7816091954023,-990.0,-26.0
./res_dicom2nifti/109/1.2.826.0.1.3680043.8.498.11178987841667003300460538691484877406/1.2.826.0.1.3680043.8.498.13381565519561833744577637954521844635.nii,-583.2604392934069,-920.0,-1024.0,-920.0,-920.0,-920.1625766871166,-995.0,-83.0
./res_dicom2nifti/109/1.2.826.0.1.3680043.8.498.11178987841667003300460538691484877406/1.2.826.0.1.3680043.8.498.42430632961042533342656603156114578094.nii,-583.4817047119141,-921.0,-1002.0,-921.0,-921.0,-921.3180379746835,-997.0,-87.0
./res_dicom2nifti/11/1.2.826.0.1.3680043.8.498.68487937784009401532517037156068967389/1.2.826.0.1.3680043.8.498.36927351872286312222404568955081240596.nii,-441.7044376148897,-138.0,-1024.0,-138.0,-138.0,-137.85114822546973,-945.0,-30.0
./res_dicom2nifti/110/1.2.826.0.1.3680043.8.498.12696013323513934166530221662131519628/1.2.826.0.1.3680043.8.498.42143656002206692433216347071275629564.nii,-444.1584285481771,-134.0,-1024.0,-134.0,-134.0,-134.14775160599572,-987.0,14.0
./res_dicom2nifti/111/1.2.826.0.1.3680043.8.498.29962143645261852293935284243502692089/1.2.826.0.1.3680043.8.498.61002313927522003693911131639893910725.nii,-415.33317988751884,-124.0,-1024.0,-124.0,-124.0,-123.98006379585327,-941.0,21.0
./res_dicom2nifti/111/1.2.826.0.1.3680043.8.498.72485194895872369480150696839298425369/1.2.826.0.1.3680043.8.498.80779218433674286572463454346887787199.nii,-497.9166653540827,-714.0,-1024.0,-714.0,-714.0,-714.0322033898306,-989.0,1.0
./res_dicom2nifti/112/1.2.826.0.1.3680043.8.498.66122534001941117993919995504562313229/1.2.826.0.1.3680043.8.498.87209265375869200333923593246872459919.nii,-403.56622159933744,-124.0,-1024.0,-124.0,-124.0,-124.16292809933907,-946.0,-14.0
./res_dicom2nifti/113/1.2.826.0.1.3680043.8.498.77336016845441438159801679219618069914/1.2.826.0.1.3680043.8.498.10652438268468195479451934726985742135.nii,-483.1167961968316,-731.0,-1024.0,-731.0,-731.0,-731.2137254901961,-960.0,11.0
